R470,X002,ELTINGVILLE PK,Z,SRT,40.5446,-74.164581
R290,R123,HOUSTON ST,1,IRT,40.728202,-74.005344
R290,R121,HOUSTON ST,1,IRT,40.728202,-74.005344
R290,R122,HOUSTON ST,1,IRT,40.728202,-74.005344
R290,R124,HOUSTON ST,1,IRT,40.728202,-74.005344
R139,N089,CANAL ST,ACE,IND,40.720852,-74.005237
R139,N090,CANAL ST,ACE,IND,40.720852,-74.005237
R044,A069,CHAMBERS ST,456JZ,BMT,40.713159,-74.003917
R044,A071,CHAMBERS ST,JZ456,BMT,40.713159,-74.003917
R044,R210,BROOKLYN BRIDGE,456JZ,IRT,40.713159,-74.003917
R044,R210A,BROOKLYN BRIDGE,JZ456,IRT,40.713159,-74.003917
R282,N086,SPRING ST,CE,IND,40.726202,-74.003627
R282,N087,SPRING ST,CE,IND,40.726202,-74.003627
R197,C018,36 ST,DNR,BMT,40.65515,-74.003477
R189,R125,CHRISTOPHER ST,1,IRT,40.733405,-74.002898
R189,R126,CHRISTOPHER ST,1,IRT,40.733405,-74.002898
R175,H001,8 AVE,ACEL,BMT,40.740388,-74.002104
R175,N078,14 ST,ACEL,IND,40.740388,-74.002104
R372,E012,18 AVE,D,BMT,40.607958,-74.001782
R462,A043,CANAL ST,JNQRZ6,BMT,40.718697,-74.000977
R462,A044,CANAL ST,JNQRZ6,BMT,40.718697,-74.000977
R463,A046,CANAL ST,JNQRZ6,BMT,40.718697,-74.000977
R463,R214,CANAL ST,JNQRZ6,IRT,40.718697,-74.000977
R371,E011,79 ST,D,BMT,40.613513,-74.000645
R138,N080,W 4 ST-WASH SQ,ABCDEFM,IND,40.732251,-74.000559
R138,N083,W 4 ST-WASH SQ,ABCDEFM,IND,40.732251,-74.000559
R118,A066,CANAL ST,JNQRZ6,BMT,40.718233,-74.000323
R370,E009,71 ST,D,BMT,40.619588,-73.998842
R373,E013,20 AVE,D,BMT,40.604798,-73.998456
R105,R127,14 ST,123FLM,IRT,40.738007,-73.998381
R105,R128,14 ST,123FLM,IRT,40.738007,-73.998381
R278,C016,25 ST,R,BMT,40.660481,-73.998059
R111,N076,23 ST,CE,IND,40.745924,-73.998005
R111,N075,23 ST,CE,IND,40.745924,-73.998005
R111,N077,23 ST,CE,IND,40.745924,-73.998005
R455,C017,25 ST,R,BMT,40.66043,-73.997944
R321,R129,18 ST,1,IRT,40.741096,-73.997877
R321,R130,18 ST,1,IRT,40.741096,-73.997877
R086,A041,PRINCE ST-B'WAY,NR,BMT,40.724332,-73.997684
R086,A042,PRINCE ST-B'WAY,NR,BMT,40.724332,-73.997684
R322,R215,SPRING ST,6,IRT,40.722397,-73.997211
R322,R216,SPRING ST,6,IRT,40.722397,-73.997211
R163,H003,6 AVE,FLM123,BMT,40.737348,-73.9969
R163,N512,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
R163,N510,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
R163,N511,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
R163,N513,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969
R545,PTH11,14TH STREET,1,PTH,40.737434,-73.996785
R398,D005,NEW UTRECHT AVE,ND,BMT,40.625419,-73.996632
R398,D006,NEW UTRECHT AVE,ND,BMT,40.625419,-73.996632
R461,N519,BROADWAY/LAFAY,BDFQ6,IND,40.725297,-73.996204
R461,N519A,BROADWAY/LAFAY,BDFQ6,IND,40.725297,-73.996204
R270,N536,SMITH-9 ST,FG,IND,40.673714,-73.996139
R194,R217A,BLEECKER ST,6DF,IRT,40.725665,-73.995645
R190,R131,23 ST,1,IRT,40.744071,-73.995624
R190,R132,23 ST,1,IRT,40.744071,-73.995624
R247,E005,55 ST,D,BMT,40.631412,-73.995473
R220,N535,CARROLL ST,FG,IND,40.680231,-73.99498
R220,N534,CARROLL ST,FG,IND,40.680231,-73.99498
R234,E004,50 ST,D,BMT,40.636232,-73.994765
R368,E001,9 AVE,D,BMT,40.646343,-73.994551
R369,E003,FT HAMILTON PKY,D,BMT,40.640872,-73.994229
R240,N520,GRAND ST,BD,IND,40.718542,-73.994164
R311,A064,BOWERY,JZ,BMT,40.720315,-73.994014
R374,E014,BAY PARKWAY,D,BMT,40.601898,-73.993821
R012,N067,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R012,N065,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R012,N068,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R012,N070,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R012,N072,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R013,N071,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R013,N069,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R013,N073,34 ST-PENN STA,ACE,IND,40.752247,-73.993456
R272,R133,28 ST,1,IRT,40.747224,-73.99336
R272,R134,28 ST,1,IRT,40.747224,-73.99336
R293,R138,34 ST-PENN STA,123ACE,IRT,40.750264,-73.992984
R293,R142,34 ST-PENN STA,123ACE,IRT,40.750264,-73.992984
R542,PTH12,TWENTY THIRD ST,1,PTH,40.742933,-73.992909
R224,R600,CLARK ST,23,IRT,40.697356,-73.992888
R454,C015,PROSPECT AVE,R,BMT,40.665405,-73.992877
R246,C014,PROSPECT AVE,R,BMT,40.665438,-73.992856
R203,N509,23 ST-6 AVE,FM,IND,40.742868,-73.99277
R453,N508,23 ST-6 AVE,FM,IND,40.742981,-73.992727
R085,A038,8 ST-B'WAY NYU,NR,BMT,40.730348,-73.992705
R085,A039,8 ST-B'WAY NYU,NR,BMT,40.730348,-73.992705
R031,R141,34 ST-PENN STA,123,IRT,40.750329,-73.991096
R031,R135,34 ST-PENN STA,123,IRT,40.750329,-73.991096
R031,R137,34 ST-PENN STA,123,IRT,40.750329,-73.991096
R031,R139,34 ST-PENN STA,123,IRT,40.750329,-73.991096
R160,R219,ASTOR PLACE,6,IRT,40.730056,-73.991042
R160,R220,ASTOR PLACE,6,IRT,40.730056,-73.991042
R129,N532,BERGEN ST,FG,IND,40.686154,-73.990881
R129,N531,BERGEN ST,FG,IND,40.686154,-73.990881
R129,N533,BERGEN ST,FG,IND,40.686154,-73.990881
R170,A035,14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688
R170,A033,14 ST-UNION SQ,456LNQR,BMT,40.734836,-73.990688
R170,A034,14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688
R170,A036,14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688
R170,A037,14 ST-UNION SQ,LNRQ456,BMT,40.734836,-73.990688
R170,R221,14 ST-UNION SQ,LNQR456,IRT,40.734836,-73.990688
R252,N100,HIGH ST,AC,IND,40.699316,-73.990474
R252,N101,HIGH ST,AC,IND,40.699316,-73.990474
R392,D008,18 AVE,N,BMT,40.620728,-73.990388
R257,N529,EAST BROADWAY,F,IND,40.713647,-73.990152
R257,N528,EAST BROADWAY,F,IND,40.713647,-73.990152
R108,C001,BOROUGH HALL/CT,2345R,BMT,40.692404,-73.990151
R108,R602,BOROUGH HALL/CT,2345R,IRT,40.692404,-73.990151
R108,R601A,BOROUGH HALL/CT,R2345,IRT,40.692404,-73.990151
R108,R604,BOROUGH HALL/CT,2345R,IRT,40.692404,-73.990151
R300,N523,2 AVE,F,IND,40.723291,-73.989873
R300,N521,2 AVE,F,IND,40.723291,-73.989873
R010,N062A,42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
R010,N060,42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
R011,N063A,42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
R011,N062,42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
R011,N063,42 ST-PA BUS TE,ACENQRS1237,IND,40.757303,-73.989787
R083,A031,23 ST-5 AVE,NR,BMT,40.741006,-73.989315
R083,A030,23 ST-5 AVE,NR,BMT,40.741006,-73.989315
R258,C012,9 ST,DFGMNR,BMT,40.67032,-73.988757
R258,N537,4 AVE,DFGMNR,IND,40.67032,-73.988757
R082,A029,28 ST-BROADWAY,NR,BMT,40.745574,-73.988682
R082,A027,28 ST-BROADWAY,NR,BMT,40.745574,-73.988682
R541,PTH17,THIRTY THIRD ST,1,PTH,40.748931,-73.988113
R022,A022,34 ST-HERALD SQ,BDFMNQR,BMT,40.749533,-73.987899
R023,A025,34 ST-HERALD SQ,BDFMNQR,BMT,40.749533,-73.987899
R022,N506,34 ST-HERALD SQ,BDFMNQR,IND,40.749533,-73.987899
R022,N505,34 ST-HERALD SQ,BDFMNQR,IND,40.749533,-73.987899
R023,N507,34 ST-HERALD SQ,BDFMNQR,IND,40.749533,-73.987899
R142,A061,ESSEX ST,FJMZ,BMT,40.71838,-73.987813
R142,N525,DELANCEY ST,FJMZ,IND,40.71838,-73.987813
R142,N526,DELANCEY ST,FJMZ,IND,40.71838,-73.987813
R127,N103,JAY ST-METROTEC,ACF,IND,40.692338,-73.987342
R127,N102,JAY ST-METROTEC,ACF,IND,40.692338,-73.987342
R330,H005,3 AVE,L,BMT,40.733243,-73.987169
R330,H006,3 AVE,L,BMT,40.733243,-73.987169
R399,E015,25 AVE,D,BMT,40.597873,-73.986955
R301,N530,YORK ST,F,IND,40.699756,-73.98689
R032,A021,42 ST-TIMES SQ,1237ACENQRS,BMT,40.755905,-73.986504
R032,R145,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R032,R143,42 ST-TIMES SQ,ACENQRS1237,IRT,40.755905,-73.986504
R032,R146,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R033,R151,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R033,R148,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R033,R150,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R033,R153,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R033,R147,42 ST-TIMES SQ,1237ACENQRS,IRT,40.755905,-73.986504
R131,R227,23 ST,6,IRT,40.740088,-73.986429
R131,R227A,23 ST,6,IRT,40.740088,-73.986429
R131,R226,23 ST,6,IRT,40.740088,-73.986429
R131,R226A,23 ST,6,IRT,40.740088,-73.986429
R188,N057,50 ST,CE,IND,40.762439,-73.985989
R188,N056,50 ST,CE,IND,40.762439,-73.985989
R089,C003,JAY ST-METROTEC,R,BMT,40.692182,-73.985935
R089,C004,JAY ST-METROTEC,R,BMT,40.692182,-73.985935
R217,N108,HOYT/SCHERMER,ACG,IND,40.688465,-73.985474
R393,D009,20 AVE,N,BMT,40.617373,-73.985088
R225,R606,HOYT ST,23,IRT,40.690547,-73.985066
R456,R605,HOYT ST,23,IRT,40.690545,-73.985065
R021,N503,42 ST-BRYANT PK,BDFM7,IND,40.754198,-73.984573
R021,N502,42 ST-BRYANT PK,BDFM7,IND,40.754198,-73.984573
R021,N504,42 ST-BRYANT PK,BDFM7,IND,40.754198,-73.984573
R143,R228,28 ST,6,IRT,40.743095,-73.984251
R143,R229,28 ST,6,IRT,40.743095,-73.984251
R143,R230,28 ST,6,IRT,40.743095,-73.984251
R081,A015,49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
R081,A013,49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
R081,A014,49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
R081,A016,49 ST-7 AVE,NQR,BMT,40.760139,-73.984112
R116,R154,50 ST,1,IRT,40.761675,-73.983908
R116,R155,50 ST,1,IRT,40.761675,-73.983908
R400,E016,BAY 50 ST,D,BMT,40.588879,-73.983629
R231,C010,UNION ST,R,BMT,40.677302,-73.983135
R231,C011,UNION ST,R,BMT,40.677302,-73.983135
R164,R160A,66 ST-LINCOLN,1,IRT,40.773424,-73.982234
R164,R159,66 ST-LINCOLN,1,IRT,40.773424,-73.982234
R164,R160,66 ST-LINCOLN,1,IRT,40.773424,-73.982234
R394,D010,BAY PKY-22 AVE,N,BMT,40.612006,-73.982009
R394,D011,BAY PKY-22 AVE,N,BMT,40.612006,-73.982009
R054,R501,5 AVE-BRYANT PK,7BDFM,IRT,40.753824,-73.981966
R054,R500,5 AVE-BRYANT PK,7BDFM,IRT,40.753824,-73.981966
R452,R161B,72 ST,123,IRT,40.778575,-73.981912
R452,R161A,72 ST,123,IRT,40.778575,-73.981912
R084,N049,59 ST-COLUMBUS,1ABCD,IND,40.76811,-73.981891
R084,N051,59 ST-COLUMBUS,ABCD1,IND,40.76811,-73.981891
R084,R158,59 ST-COLUMBUS,1ABCD,IRT,40.76811,-73.981891
R099,C008,DEKALB AVE,BDNQR,BMT,40.690612,-73.981848
R176,R231,33 ST,6,IRT,40.746119,-73.981826
R176,R231A,33 ST,6,IRT,40.746119,-73.981826
R176,R232,33 ST,6,IRT,40.746119,-73.981826
R176,R232A,33 ST,6,IRT,40.746119,-73.981826
R248,H007,1 AVE,L,BMT,40.730901,-73.981719
R248,H008,1 AVE,L,BMT,40.730901,-73.981719
R113,N301,7 AVE-53 ST,BDE,IND,40.762877,-73.98159
R113,N300,7 AVE-53 ST,BDE,IND,40.762877,-73.98159
R020,N500,47-50 ST-ROCK,BDFM,IND,40.758652,-73.981311
R020,N501,47-50 ST-ROCK,BDFM,IND,40.758652,-73.981311
R020,N501A,47-50 ST-ROCK,BDFM,IND,40.758652,-73.981311
R151,G001,STILLWELL AVE,DFNQ,BMT,40.577423,-73.981225
R151,G009,STILLWELL AVE,DFNQ,BMT,40.577423,-73.981225
R395,D012,KINGS HIGHWAY,N,BMT,40.603967,-73.980668
R080,A010,57 ST-7 AVE,NQR,BMT,40.764755,-73.980646
R080,A011,57 ST-7 AVE,NQR,BMT,40.764755,-73.980646
R056,R608,NEVINS ST,2345,IRT,40.688269,-73.980453
R056,R609,NEVINS ST,2345,IRT,40.688269,-73.980453
R288,N539A,7 AV-PARK SLOPE,FG,IND,40.666276,-73.980324
R166,R162,79 ST,1,IRT,40.783872,-73.979938
R166,R163,79 ST,1,IRT,40.783872,-73.979938
R204,N546,CHURCH AVE,FG,IND,40.644039,-73.979541
R204,N545,CHURCH AVE,FG,IND,40.644039,-73.979541
R241,N542,15 ST-PROSPECT,FG,IND,40.660376,-73.979509
R241,N541,15 ST-PROSPECT,FG,IND,40.660376,-73.979509
R396,D015,AVE U,N,BMT,40.597482,-73.979359
R397,D016,86 ST,N,BMT,40.592676,-73.978243
R420,N548,DITMAS AVE,F,IND,40.63615,-73.978179
R420,N547,DITMAS AVE,F,IND,40.63615,-73.978179
R302,N600,57 ST,F,IND,40.763625,-73.977449
R057,B001,ATLANTIC AVE,2345BDNQR,BMT,40.684063,-73.977417
R057,B002,ATLANTIC AVE,BDNQR2345,BMT,40.684063,-73.977417
R057,C009,PACIFIC ST,BDNQR2345,BMT,40.684063,-73.977417
R057,R610,ATLANTIC AVE,2345BDNQR,IRT,40.684063,-73.977417
R242,N549,18 AVE,F,IND,40.629881,-73.977149
R242,N550,18 AVE,F,IND,40.629881,-73.977149
R045,R236,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R045,R233,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R046,R238,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R046,R237,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R046,R238A,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R047,R240,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R047,R237B,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R048,R241A,42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
R281,N046,72 ST,BC,IND,40.775545,-73.976398
R167,R164,86 ST,1,IRT,40.788844,-73.97599
R167,R165,86 ST,1,IRT,40.788844,-73.97599
R167,R166,86 ST,1,IRT,40.788844,-73.97599
R312,G011,W 8 ST-AQUARIUM,FQ,BMT,40.576152,-73.975925
R312,G015,W 8 ST-AQUARIUM,FQ,BMT,40.576152,-73.975925
R289,N543,FT HAMILTON PKY,FG,IND,40.650722,-73.975818
R289,N544,FT HAMILTON PKY,FG,IND,40.650722,-73.975818
R421,N551,AVE I,F,IND,40.625305,-73.975732
R422,N553,22 AVE-BAY PKY,F,IND,40.620907,-73.975453
R318,N422,FULTON ST,G,IND,40.68713,-73.975346
R015,N303,5 AVE-53 ST,EM,IND,40.760179,-73.975196
R015,N304,5 AVE-53 ST,EM,IND,40.760179,-73.975196
R058,R617,BERGEN ST,23,IRT,40.680801,-73.975132
R058,R618,BERGEN ST,23,IRT,40.680801,-73.975132
R426,N562,NEPTUNE AVE,F,IND,40.580992,-73.974531
R271,N561,AVE X,F,IND,40.589547,-73.974295
R423,N555,AVE N,F,IND,40.615174,-73.974166
R423,N554,AVE N,F,IND,40.615174,-73.974166
R283,N110,LAFAYETTE AVE,C,IND,40.68617,-73.973908
R079,A006,5 AVE-59 ST,NQR,BMT,40.764909,-73.973372
R079,A007,5 AVE-59 ST,NQR,BMT,40.764909,-73.973372
R425,N559,AVE U,F,IND,40.596065,-73.973329
R424,N556,AVE P,F,IND,40.609147,-73.972986
R171,B004,7 AVE,BQ,BMT,40.677172,-73.972514
R168,R168A,96 ST,123,IRT,40.79388,-73.972363
R168,R168,96 ST,123,IRT,40.79388,-73.972363
R130,N557,KINGS HIGHWAY,F,IND,40.603234,-73.972342
R130,N558,KINGS HIGHWAY,F,IND,40.603234,-73.972342
R187,N044,81 ST-MUSEUM,BC,IND,40.781435,-73.972149
R187,N045,81 ST-MUSEUM,BC,IND,40.781435,-73.972149
R049,R243,51 ST,6,IRT,40.757108,-73.97187
R049,R242,51 ST,6,IRT,40.757108,-73.97187
R049,R242A,51 ST,6,IRT,40.757108,-73.97187
R059,R619,GRAND ARMY PLAZ,23,IRT,40.675219,-73.971012
R016,N305A,LEXINGTON-53 ST,EM6,IND,40.75753,-73.969102
R017,N306,LEXINGTON-53 ST,EM6,IND,40.75753,-73.969102
R017,N305,LEXINGTON-53 ST,EM6,IND,40.75753,-73.969102
R186,N043,86 ST,BC,IND,40.785822,-73.968952
R186,N042,86 ST,BC,IND,40.785822,-73.968952
R264,B032,OCEAN PARKWAY,Q,BMT,40.576298,-73.968523
R264,B034,OCEAN PARKWAY,Q,BMT,40.576298,-73.968523
R191,R170,103 ST,1,IRT,40.799354,-73.968329
R050,A004,LEXINGTON AVE,456NQR,BMT,40.762796,-73.967686
R051,A002,LEXINGTON AVE,456NQR,BMT,40.762796,-73.967686
R050,R244,59 ST,456NQR,IRT,40.762796,-73.967686
R050,R244A,59 ST,456NQR,IRT,40.762796,-73.967686
R051,R245,59 ST,456NQR,IRT,40.762796,-73.967686
R051,R245A,59 ST,456NQR,IRT,40.762796,-73.967686
R317,N420B,CLINTON-WASH AV,G,IND,40.688123,-73.966742
R192,R172,110 ST-CATHEDRL,1,IRT,40.804032,-73.966742
R192,R171,110 ST-CATHEDRL,1,IRT,40.804032,-73.966742
R319,N601,LEXINGTON AVE,F,IND,40.764763,-73.966291
R284,N111,CLINTON-WASH AV,C,IND,40.683263,-73.965838
R284,N112A,CLINTON-WASH AV,C,IND,40.683263,-73.965838
R251,N040,96 ST,BC,IND,40.791654,-73.964682
R251,N039,96 ST,BC,IND,40.791654,-73.964682
R262,B017,BEVERLEY ROAD,BQ,BMT,40.643982,-73.96451
R060,R621,EASTERN PKWY,23,IRT,40.672013,-73.96436
R159,R173,116 ST-COLUMBIA,1,IRT,40.80819,-73.964124
R177,R246,68ST-HUNTER COL,6,IRT,40.768143,-73.964016
R468,TRAM1,RIT-MANHATTAN,R,RIT,40.761268,-73.964016
R184,B018,CORTELYOU ROAD,BQ,BMT,40.640905,-73.963866
R098,B016,CHURCH AVE,BQ,BMT,40.650494,-73.962836
R098,B015,CHURCH AVE,BQ,BMT,40.650494,-73.962836
R149,B019,NEWKIRK AVE,BQ,BMT,40.635059,-73.962793
R196,B012,PROSPECT PARK,BQS,BMT,40.661596,-73.962193
R196,B013,PROSPECT PARK,BQS,BMT,40.661596,-73.962193
R172,B029,BRIGHTON BEACH,BQ,BMT,40.577961,-73.961806
R172,B031,BRIGHTON BEACH,BQ,BMT,40.577961,-73.961806
R263,B020,AVE H,BQ,BMT,40.629164,-73.961678
R314,N037,103 ST,BC,IND,40.796105,-73.961399
R148,B014,PARKSIDE AVE,BQ,BMT,40.655053,-73.961227
R228,B021,AVE J,BQ,BMT,40.625028,-73.960819
R287,N419,CLASSON AVE,G,IND,40.688855,-73.960025
R178,R248,77 ST,6,IRT,40.773636,-73.959875
R178,R247,77 ST,6,IRT,40.773636,-73.959875
R229,B022,AVE M,BQ,BMT,40.617568,-73.95936
R412,B010,BOTANIC GARDEN,S2345,BMT,40.670499,-73.958759
R034,R174,125 ST,1,IRT,40.815596,-73.958395
R334,N035,CATHEDRL-110 ST,BC,IND,40.800637,-73.958201
R334,N034,CATHEDRL-110 ST,BC,IND,40.800637,-73.958201
R123,R622,FRANKLIN AVE,2345S,IRT,40.670711,-73.958051
R411,B009,PARK PLACE,S,BMT,40.67491,-73.957794
R211,B024,KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
R211,B023,KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
R211,B024A,KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
R460,J002,MARCY AVE,JMZ,BMT,40.708377,-73.957751
R460,J001,MARCY AVE,JMZ,BMT,40.708377,-73.957751
R235,H009,BEDFORD AVE,L,BMT,40.717241,-73.956614
R297,N113,FRANKLIN AVE,ACS,IND,40.681159,-73.956056
R297,N114,FRANKLIN AVE,ACS,IND,40.681159,-73.956056
R150,B025,AVE U,BQ,BMT,40.599307,-73.955916
R179,R250,86 ST,456,IRT,40.779485,-73.955541
R179,R249,86 ST,456,IRT,40.779485,-73.955541
R230,B026,NECK ROAD,BQ,BMT,40.595234,-73.95509
R333,N030,116 ST,BC,IND,40.805072,-73.954833
R333,N029,116 ST,BC,IND,40.805072,-73.954833
R239,N405,GREENPOINT AVE,G,IND,40.731324,-73.954425
R239,N403,GREENPOINT AVE,G,IND,40.731324,-73.954425
R136,B027,SHEEPSHEAD BAY,BQ,BMT,40.58681,-73.954167
R136,B028,SHEEPSHEAD BAY,BQ,BMT,40.58681,-73.954167
R469,TRAM2,RIT-ROOSEVELT,R,RIT,40.7574,-73.954006
R169,R176,137 ST-CITY COL,1,IRT,40.821994,-73.953674
R169,R175,137 ST-CITY COL,1,IRT,40.821994,-73.953674
R276,R504,VERNON/JACKSON,7,IRT,40.742624,-73.953545
R276,R503,VERNON/JACKSON,7,IRT,40.742624,-73.953545
R276,R506,VERNON/JACKSON,7,IRT,40.742624,-73.953545
R352,J003,HEWES ST,JM,BMT,40.706994,-73.953481
R269,N417,BEDFORD/NOSTRAN,G,IND,40.689636,-73.953459
R269,N418,BEDFORD/NOSTRAN,G,IND,40.689636,-73.953459
R259,N602,ROOSEVELT IS,F,IND,40.759123,-73.953266
R102,N026,125 ST,ACBD,IND,40.811056,-73.952386
R102,N025,125 ST,ACBD,IND,40.811056,-73.952386
